"Weather","Wetter"
"Location","Ort"
"Temperature Unit","Temperatur Einheit"
"Wind Unit","Wind Einheit"
"Name of the Location. Default is the location of the weather-station.","Name des Orts. Wenn nicht angegeben wird Wetter-Station genommen."
"You can get the coordinates of your position from openstreetmap.org or an other map-service.","Sie können die Koordinaten Ihres Orts über openstreetmap.org oder einen anderen Map-Dienst bekommen."
"broken clouds","wechselnde Bewölkung"
"sky is clear","klarer Himmel"
"few clouds","leichte Bewölkung"
"scattered clouds","Bewölkung"
"overcast clouds","bedeckter Himmel"